"System Time Index","BVP Data"
"1529863319042","1.0"
"1529863319093","2.0"
"1529863319119","3.0"
"1529863319167","4.0"
"1529863319251","3.0"
"1529863319251","2.0"
"1529863319273","1.0"
"1529863319274","0.0"
"1529863319278","-1.0"
"1529863319279","-2.0"
"1529863319281","-3.0"
"1529863319282","-4.0"
"1529863319305","-5.0"
"1529863319352","-4.0"
"1529863319377","-5.0"
"1529863319400","-6.0"
"1529863319402","-7.0"
"1529863319426","-8.0"
"1529863319429","-9.0"
"1529863319452","-10.0"
"1529863319453","-9.0"
"1529863319454","-8.0"
"1529863319476","-7.0"
"1529863319478","-6.0"
"1529863319479","-5.0"
"1529863319501","-4.0"
"1529863319502","-3.0"
"1529863319503","-2.0"
"1529863319504","-1.0"
"1529863319526","0.0"
"1529863319527","1.0"
"1529863319528","2.0"
"1529863319558","3.0"
"1529863319559","4.0"
"1529863319581","5.0"
"1529863319630","6.0"
"1529863319678","7.0"
"1529863319726","8.0"
"1529863319771","9.0"
"1529863319824","7.0"
"1529863319825","6.0"
"1529863319825","5.0"
"1529863319825","4.0"
"1529863319846","2.0"
"1529863319846","1.0"
"1529863319847","0.0"
"1529863319847","-1.0"
"1529863319847","-2.0"
"1529863319848","-4.0"
"1529863319848","-5.0"
"1529863319848","-6.0"
"1529863319849","-7.0"
"1529863319849","-8.0"
"1529863319849","-9.0"
"1529863319871","-10.0"
"1529863319871","-11.0"
"1529863319872","-12.0"
"1529863319873","-14.0"
"1529863319874","-15.0"
"1529863319874","-16.0"
"1529863319875","-17.0"
"1529863319896","-19.0"
"1529863319896","-20.0"
"1529863319897","-21.0"
"1529863319897","-23.0"
"1529863319898","-24.0"
"1529863319898","-25.0"
"1529863319899","-26.0"
"1529863319899","-28.0"
"1529863319899","-29.0"
"1529863319920","-30.0"
"1529863319921","-31.0"
"1529863319921","-32.0"
"1529863319926","-33.0"
"1529863319946","-34.0"
"1529863319947","-35.0"
"1529863319948","-36.0"
"1529863319970","-35.0"
"1529863319970","-34.0"
"1529863319971","-33.0"
"1529863319972","-32.0"
"1529863319993","-31.0"
"1529863319993","-30.0"
"1529863320015","-29.0"
"1529863320015","-28.0"
"1529863320016","-27.0"
"1529863320037","-26.0"
"1529863320038","-25.0"
"1529863320038","-24.0"
"1529863320039","-23.0"
"1529863320060","-22.0"
"1529863320060","-21.0"
"1529863320083","-20.0"
"1529863320085","-19.0"
"1529863320108","-18.0"
"1529863320131","-17.0"
"1529863320155","-18.0"
"1529863320178","-19.0"
"1529863320179","-20.0"
"1529863320223","-19.0"
"1529863320224","-18.0"
"1529863320224","-17.0"
"1529863320246","-16.0"
"1529863320246","-15.0"
"1529863320247","-14.0"
"1529863320268","-13.0"
"1529863320269","-12.0"
"1529863320270","-11.0"
"1529863320270","-10.0"
"1529863320298","-9.0"
"1529863320298","-8.0"
"1529863320299","-7.0"
"1529863320299","-6.0"
"1529863320299","-5.0"
"1529863320299","-4.0"
"1529863320300","-3.0"
"1529863320300","-2.0"
"1529863320301","-1.0"
"1529863320301","0.0"
"1529863320322","1.0"
"1529863320322","2.0"
"1529863320323","3.0"
"1529863320344","4.0"
"1529863320345","5.0"
"1529863320345","6.0"
"1529863320387","5.0"
"1529863320408","4.0"
"1529863320410","3.0"
"1529863320410","2.0"
"1529863320432","1.0"
"1529863320433","0.0"
"1529863320454","-1.0"
"1529863320455","-2.0"
"1529863320456","-3.0"
"1529863320477","-4.0"
"1529863320478","-5.0"
"1529863320500","-6.0"
"1529863320502","-7.0"
"1529863320525","-8.0"
"1529863320547","-9.0"
"1529863320569","-10.0"
"1529863320570","-11.0"
"1529863320571","-12.0"
"1529863320572","-13.0"
"1529863320573","-14.0"
"1529863320594","-15.0"
"1529863320595","-16.0"
"1529863320637","-17.0"
"1529863320659","-18.0"
"1529863320661","-19.0"
"1529863320684","-20.0"
"1529863320684","-21.0"
"1529863320685","-22.0"
"1529863320686","-23.0"
"1529863320687","-24.0"
"1529863320709","-25.0"
"1529863320731","-26.0"
"1529863320754","-25.0"
"1529863320776","-24.0"
"1529863320798","-23.0"
"1529863320799","-22.0"
"1529863320820","-21.0"
"1529863320821","-20.0"
"1529863320821","-19.0"
"1529863320842","-18.0"
"1529863320843","-17.0"
"1529863320864","-16.0"
"1529863320864","-15.0"
"1529863320864","-14.0"
"1529863320865","-13.0"
"1529863320865","-12.0"
"1529863320865","-11.0"
"1529863320866","-10.0"
"1529863320886","-9.0"
"1529863320887","-8.0"
"1529863320887","-7.0"
"1529863320887","-6.0"
"1529863320888","-5.0"
"1529863320888","-4.0"
"1529863320909","-3.0"
"1529863320909","-2.0"
"1529863320910","-1.0"
"1529863320910","0.0"
"1529863320910","1.0"
"1529863320932","2.0"
"1529863320932","3.0"
"1529863320932","4.0"
"1529863320933","5.0"
"1529863320933","6.0"
"1529863320933","7.0"
"1529863320934","8.0"
"1529863320955","9.0"
"1529863320955","10.0"
"1529863320955","11.0"
"1529863320956","12.0"
"1529863320956","13.0"
"1529863320977","14.0"
"1529863320978","15.0"
"1529863320979","16.0"
"1529863321000","17.0"
"1529863321087","16.0"
"1529863321088","15.0"
"1529863321109","14.0"
"1529863321109","13.0"
"1529863321110","12.0"
"1529863321110","11.0"
"1529863321110","10.0"
"1529863321111","9.0"
"1529863321111","8.0"
"1529863321132","7.0"
"1529863321132","6.0"
"1529863321132","5.0"
"1529863321132","4.0"
"1529863321133","3.0"
"1529863321133","2.0"
"1529863321154","1.0"
"1529863321154","0.0"
"1529863321175","-1.0"
"1529863321175","-2.0"
"1529863321176","-3.0"
"1529863321176","-4.0"
"1529863321176","-5.0"
"1529863321177","-6.0"
"1529863321177","-7.0"
"1529863321198","-8.0"
"1529863321198","-9.0"
"1529863321199","-10.0"
"1529863321220","-11.0"
"1529863321221","-12.0"
"1529863321221","-13.0"
"1529863321244","-14.0"
"1529863321245","-15.0"
"1529863321266","-16.0"
"1529863321266","-17.0"
"1529863321287","-18.0"
"1529863321288","-19.0"
"1529863321288","-20.0"
"1529863321288","-21.0"
"1529863321289","-22.0"
"1529863321289","-23.0"
"1529863321289","-24.0"
"1529863321310","-25.0"
"1529863321311","-26.0"
"1529863321311","-27.0"
"1529863321311","-28.0"
"1529863321311","-29.0"
"1529863321311","-30.0"
"1529863321332","-31.0"
"1529863321333","-32.0"
