"System Time Index","HR Data","HR Data Average","HR Data Standard Deviation"
"1528653736142","52.32558","0.0","0.0"
"1528653737214","56.42633","0.0","0.0"
"1528653737917","84.11215","0.0","0.0"
"1528653739118","99.44752","0.0","0.0"
"1528653741233","85.578445","0.0","0.0"
"1528653742566","91.83673","85.578445","0.0"
"1528653743979","83.72093","85.578445","0.0"
"1528653744633","96.25668","85.55987","0.18114209"
"1528653749002","81.50944","85.66684","1.0432967"
"1528653751003","90.15025","85.62527","0.41863328"
"1528653752721","75.0","85.67052","0.4432522"
"1528653755110","71.71315","85.56381","1.0415188"
"1528653756158","57.877815","85.42531","1.3547087"
"1528653757853","70.588234","85.14983","2.6898098"
"1528653758783","65.93407","85.00422","1.4452792"
"1528653760811","52.785923","84.813515","1.8653041"
"1528653763058","53.49183","84.49324","3.128855"
"1528653764193","52.63158","84.18323","3.0393658"
"1528653766745","47.808765","83.867714","3.0918517"
"1528653767720","60.60606","83.507126","3.5299892"
"1528653769316","74.6888","83.278114","2.2610085"
"1528653769978","89.55224","83.19222","0.8675989"
"1528653771345","44.00978","83.25582","0.62625957"
"1528653772883","39.04555","82.86336","3.8277357"
"1528653777528","51.724136","82.42518","4.290166"
"1528653779234","70.17544","82.11817","3.0245085"
"1528653780776","38.87689","81.99874","1.2032715"
"1528653783209","49.18033","81.56752","4.2069087"
"1528653786177","40.632053","81.243645","3.1862519"
"1528653787106","64.51613","80.83753","3.9731872"
"1528653787921","73.17073","80.67432","1.6404837"
"1528653788741","84.50704","80.59928","0.7499037"
"1528653792198","50.799625","80.63836","0.38838816"
"1528653793369","50.27933","80.33997","2.9100945"
"1528653794374","60.60606","80.03937","2.9458842"
"1528653795765","42.857143","79.84503","1.9178706"
"1528653796818","57.32484","79.47515","3.6121063"
"1528653799659","65.21739","79.25365","2.1900628"
"1528653800875","46.875","79.11328","1.386207"
"1528653803474","45.918365","78.7909","3.1468906"
"1528653805343","64.51613","78.46217","3.2210963"
"1528653808113","64.7482","78.322716","1.3976253"
"1528653809469","44.444443","78.18697","1.3311273"
"1528653811759","54.135338","77.84955","3.2932198"
"1528653813347","36.144577","77.612404","2.33591"
"1528653817170","46.99739","77.19772","4.05063"
"1528653819904","44.06365","76.89572","2.9728231"
"1528653821041","52.63158","76.5674","3.2155132"
"1528653822238","49.586777","76.32804","2.3562343"
"1528653824264","60.0","76.06063","2.6183972"
"1528653825328","55.555557","75.900024","1.5879486"
"1528653826786","41.860466","75.69658","1.990311"
"1528653828093","45.454544","75.358215","3.3056514"
"1528653829181","54.878048","75.05918","2.934844"
"1528653830364","50.704224","74.85737","1.9898008"
"1528653832196","65.81353","74.61584","2.3637736"
"1528653833003","74.6888","74.52782","0.8903413"
"1528653834193","50.27933","74.52943","0.09040753"
"1528653835192","59.60265","74.28693","2.3648555"
"1528653837292","57.32484","74.14008","1.4513876"
"1528653838946","36.43725","73.97193","1.6462116"
"1528653840164","49.315067","73.59659","3.6640346"
"1528653841707","39.82301","73.353775","2.3960836"
"1528653842695","62.93706","73.01847","3.2786448"
"1528653843859","48.257374","72.917656","1.0363551"
"1528653845730","64.98195","72.67105","2.4070709"
"1528653846497","74.6888","72.59416","0.7875197"
"1528653847317","75.63025","72.615105","0.2189216"
"1528653848579","47.36842","72.645256","0.2948469"
"1528653850903","51.502148","72.39249","2.4651408"
"1528653852181","46.875","72.183586","2.0520601"
"1528653853315","53.57143","71.930504","2.4765775"
"1528653855015","35.225048","71.74691","1.807401"
"1528653856050","57.877815","71.38169","3.5661483"
"1528653857018","62.5","71.24665","1.3643124"
"1528653858242","49.04632","71.15919","0.86380464"
"1528653859967","69.097885","70.93806","2.1581476"
"1528653861192","48.913044","70.919655","0.28067547"
"1528653862620","43.47826","70.699585","2.1462398"
"1528653863762","51.42857","70.42737","2.6632504"
"1528653864943","50.27933","70.23738","1.8717823"
"1528653866217","47.12042","70.0378","1.9552637"
"1528653867541","44.77612","69.80863","2.243411"
"1528653868451","67.92453","69.558304","2.451425"
"1528653869554","53.254436","69.54197","0.29236782"
"1528653870786","52.941177","69.3791","1.5886087"
"1528653871468","77.586205","69.214714","1.610857"
"1528653872162","86.124405","69.29843","0.83211756"
"1528653873122","62.93706","69.46669","1.642956"
"1528653874072","64.05694","69.40139","0.65761477"
"1528653875132","56.25","69.347946","0.5253166"
"1528653876475","45.0","69.216965","1.2783746"
"1528653877942","81.818184","68.97479","2.3650646"
"1528653878705","85.71429","69.103226","1.2746055"
"1528653879961","45.0","69.26933","1.6248966"
"1528653881862","63.268894","69.02664","2.3722858"
"1528653884048","82.31707","68.96906","0.6095459"
"1528653885806","68.57143","69.10254","1.3031074"
"1528653886715","67.669174","69.09723","0.14022645"
"1528653888068","43.373493","69.08295","0.13996612"
"1528653890441","76.16361","68.82585","2.507192"
"1528653892441","60.100166","68.89923","0.75822085"
"1528653894194","68.44106","68.81124","0.861417"
"1528653895250","57.32484","68.80754","0.09340002"
"1528653897156","63.268894","68.69271","1.1198169"
"1528653898426","46.511627","68.63847","0.540648"
"1528653899294","69.49807","68.417206","2.158459"
"1528653900668","46.035805","68.42802","0.24020721"
"1528653901444","70.588234","68.204094","2.1837919"
