"System Time Index";"BVP Data"
"1530208815192";"-1.0"
"1530208815243";"0.0"
"1530208815385";"1.0"
"1530208815468";"2.0"
"1530208815545";"3.0"
"1530208815785";"2.0"
"1530208815787";"1.0"
"1530208815789";"0.0"
"1530208815791";"-1.0"
"1530208815813";"-2.0"
"1530208815814";"-3.0"
"1530208815815";"-4.0"
"1530208815816";"-5.0"
"1530208815817";"-6.0"
"1530208815819";"-7.0"
"1530208815841";"-8.0"
"1530208815842";"-9.0"
"1530208815866";"-10.0"
"1530208815893";"-9.0"
"1530208815944";"-8.0"
"1530208815946";"-7.0"
"1530208815969";"-6.0"
"1530208815993";"-5.0"
"1530208816018";"-4.0"
"1530208816021";"-3.0"
"1530208816044";"-2.0"
"1530208816067";"-1.0"
"1530208816092";"0.0"
"1530208816191";"1.0"
"1530208816193";"2.0"
"1530208816215";"3.0"
"1530208816217";"4.0"
"1530208816290";"5.0"
"1530208816463";"6.0"
"1530208816486";"5.0"
"1530208816508";"4.0"
"1530208816511";"3.0"
"1530208816512";"2.0"
"1530208816536";"1.0"
"1530208816560";"0.0"
"1530208816633";"-1.0"
"1530208816659";"-2.0"
"1530208816707";"-3.0"
"1530208816755";"-2.0"
"1530208816880";"-3.0"
"1530208817067";"-2.0"
"1530208817089";"-1.0"
"1530208817091";"0.0"
"1530208817113";"1.0"
"1530208817138";"2.0"
"1530208817140";"3.0"
"1530208817141";"4.0"
"1530208817141";"5.0"
"1530208817142";"6.0"
"1530208817324";"7.0"
"1530208817348";"6.0"
"1530208817393";"5.0"
"1530208817394";"4.0"
"1530208817395";"3.0"
"1530208817396";"2.0"
"1530208817418";"1.0"
"1530208817440";"0.0"
"1530208817463";"-1.0"
"1530208817465";"-2.0"
"1530208817511";"-1.0"
"1530208817512";"-2.0"
"1530208817536";"-1.0"
"1530208817582";"-2.0"
"1530208817655";"-3.0"
"1530208817799";"-2.0"
"1530208817871";"-1.0"
"1530208817938";"-2.0"
"1530208817961";"-1.0"
"1530208818007";"0.0"
"1530208818030";"1.0"
"1530208818030";"2.0"
"1530208818052";"3.0"
"1530208818053";"4.0"
"1530208818054";"5.0"
